,골절,공구,면부,물질,부탄가스,상태,소각,소각장,쓰레기,용기,우측,인화,제거,청소,추정,폭발,현장
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0
2,0,0,0,1,1,0,2,2,3,1,0,1,0,1,0,0,0
3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0
4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0
5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0
14,1,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
15,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
16,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
19,0,0,1,0,1,0,2,1,2,1,0,0,0,0,1,1,0
20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
21,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0
