,공기,공기압,소리,수리,에어,점검,주입,지게차,차량,출장,타이어,펑크,현장,휠_
0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
1,0,0,0,1,0,0,0,2,0,0,2,0,0,0
2,1,0,0,0,0,0,1,0,0,0,2,0,0,1
3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4,0,0,1,0,1,1,0,2,0,0,3,0,0,0
5,0,0,0,0,0,0,0,1,0,0,2,0,0,0
6,0,1,1,2,0,0,1,0,0,1,2,1,0,0
7,0,0,0,0,0,2,0,0,1,0,3,0,0,0
8,0,0,0,1,0,1,0,0,1,0,2,1,1,0
9,1,2,1,0,0,0,1,0,1,0,3,0,1,0
10,0,0,0,0,0,0,2,0,0,0,1,0,2,0
11,0,0,0,2,1,0,0,0,1,2,3,1,0,0
12,0,0,0,0,1,0,1,0,1,0,2,0,0,0
13,0,3,0,0,0,0,0,0,0,0,4,0,0,0
14,1,0,0,0,0,0,1,0,1,0,1,0,0,0
15,0,0,0,0,0,0,0,0,0,0,3,0,0,0
16,0,0,0,0,1,0,0,0,0,1,3,0,0,0
17,1,0,0,0,0,0,1,0,0,0,3,0,0,0
18,1,0,0,0,0,0,1,0,0,0,2,0,0,1
19,0,0,0,0,0,0,0,2,0,0,1,0,0,0
20,0,1,0,0,0,0,0,0,0,0,3,0,0,1
