,가스통,교체,라이터,바닥,밸브,산소,소재,연결,용접,용접기,장소,절단,제품,진행,토치,폭발,현장,호스,회사
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,3,0
6,0,0,0,1,1,4,0,0,1,0,0,0,0,0,2,0,1,1,0
7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
9,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,1,1,0,2
10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
11,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,1,0,2,0
12,0,0,0,0,2,3,1,0,0,2,1,0,1,0,0,1,0,0,0
13,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,2,0
14,1,2,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0
15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
18,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0
19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
20,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,1
21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
22,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0
23,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0
24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
