,가스,공정,배터리,소속,소재,스파크,실험실,원재료,유증,자동차,제조,탱크,폭발
0,0,1,0,0,0,1,0,1,1,0,1,1,1
1,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0,0,2,0,0,1,0,0,0,1,0,0,1
3,1,0,0,0,0,0,0,0,0,0,1,0,1
4,0,0,1,0,0,0,0,0,0,0,0,0,1
5,0,1,0,0,0,0,0,0,0,0,1,0,1
6,1,0,0,0,0,0,0,1,1,0,2,2,1
7,1,1,0,1,0,0,0,0,0,0,2,0,1
8,0,0,0,0,0,0,0,0,1,0,1,0,1
9,0,0,7,0,1,0,0,0,0,0,0,0,2
10,0,0,0,0,0,0,1,0,0,0,1,0,0
11,1,0,4,1,1,1,0,1,0,0,0,0,1
12,0,0,1,1,0,0,0,0,0,0,0,0,1
13,1,0,1,0,0,0,0,0,0,1,1,0,1
14,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,1,0,0,0,0,0,2,1,0
16,0,0,0,0,0,0,0,0,1,0,2,0,1
17,0,0,0,0,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,0,0,1,0,1,0,0,0,1,0,0
20,0,0,4,0,0,0,0,0,0,1,0,0,1
21,0,0,0,0,0,0,0,0,0,0,2,0,1
