,가스,건조,교체,도장,부위,분체,소재,수리,용접,준비,차량,폭발
0,1,0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,1,1,0,1
3,3,1,0,0,0,0,1,0,0,0,0,1
4,1,1,0,0,0,0,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,0,0,0,1
6,3,0,0,0,2,0,0,0,0,0,0,1
7,3,0,0,0,0,0,0,0,0,0,2,1
8,1,0,0,0,0,0,0,1,1,0,0,1
9,1,0,0,0,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,2,0,0,0,2
11,1,0,0,0,0,1,0,0,0,0,0,1
12,3,0,0,0,1,0,1,0,0,0,0,1
13,3,0,0,1,0,1,0,0,0,0,1,1
14,1,0,0,0,0,0,0,0,0,0,0,1
15,2,1,0,0,0,0,0,0,0,0,0,1
16,1,0,0,1,0,1,0,0,0,0,0,1
17,1,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,0,0,0,0,0,1,0,1
20,1,0,0,0,0,0,0,1,0,0,0,1
21,2,0,0,0,0,0,0,0,0,0,0,1
22,1,0,0,0,0,0,1,0,0,0,0,1
23,2,0,0,0,0,0,0,0,0,0,0,1
24,1,0,1,0,0,0,0,0,0,1,0,1
25,1,0,0,0,0,0,0,0,0,0,0,1
26,3,0,0,0,0,0,0,0,0,0,0,1
27,1,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,1
29,2,0,0,0,0,0,0,0,0,0,0,1
30,2,0,1,0,0,0,0,0,1,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,1,0,0,0,1
33,1,0,0,0,0,0,0,0,0,0,0,1
34,1,0,0,0,0,0,0,0,0,0,0,1
35,1,0,0,0,0,0,0,0,0,0,1,1
36,3,0,0,0,0,0,0,1,0,0,0,0
37,2,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,2,0,0,3
39,1,0,0,0,0,0,0,0,0,0,1,2
40,1,0,0,0,1,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,1
42,2,0,0,0,0,0,0,0,0,0,0,1
43,2,0,0,0,0,0,0,0,0,0,0,1
44,1,0,0,0,0,0,0,0,0,0,0,1
