,드럼,물질,밀폐,바닥,분리,불상,산소,상기,소재,용기,용접,장소,추정,파열,폭발,혼합,화학
0,3,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0
3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0
5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
9,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
10,8,0,0,1,1,0,0,1,1,0,0,0,0,0,1,2,1
11,2,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
12,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3
13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
