,가스,보일러,상태,소리,소재,스위치,스파크,연결,열_,장치,전기,차량,치료,폭_,폭발,현장,호스
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0
7,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
8,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
10,4,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0
16,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1
18,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0
19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
21,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
28,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
32,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0
