,견해,경고,공단,과태료,내용,도구,락_,목적,배터리,법_,보고,보험,부과,사실,사유,산업재,산재,작성,장소,제출,조사,조사표,조치,처리,처분,카_,카통,파편,폭발
0,1,1,1,0,1,1,0,1,0,1,2,1,0,1,2,2,2,0,1,1,1,2,2,0,1,0,0,2,1
1,1,1,0,0,1,1,2,1,0,0,2,0,0,1,2,1,0,0,1,0,1,0,1,0,0,0,2,0,1
2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,2,0,1,0,1,0,1,0,1,2,0,1,0,0,1
3,1,0,0,1,1,1,3,1,0,0,2,0,1,0,2,1,0,0,1,1,1,1,1,3,0,2,1,0,0
4,1,0,1,0,1,1,0,1,1,0,1,0,0,2,2,1,3,1,1,2,2,2,0,0,0,0,0,0,1
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
6,1,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1
7,1,0,0,1,1,1,0,1,1,1,1,1,0,0,2,1,0,1,1,0,1,1,0,1,1,0,0,1,1
8,1,0,0,0,1,1,0,1,2,0,2,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0
9,1,0,1,1,1,1,0,1,0,0,2,1,1,0,2,2,1,1,1,1,1,1,0,1,1,0,0,1,0
10,1,0,0,1,1,1,0,1,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2
11,1,0,0,1,1,1,3,1,0,0,2,1,1,0,2,0,0,0,1,0,1,0,0,1,0,1,2,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
