,골절,공구,면부,물질,부탄가스,상태,소각,소각장,쓰레기,용기,우측,인화,제거,청소,추정,폭발,현장
골절,3,0,1,2,0,0,0,0,0,1,3,0,1,0,3,3,1
공구,0,6,2,1,0,1,0,0,0,0,0,1,8,0,0,4,0
면부,1,2,7,0,1,2,2,1,2,2,1,0,5,0,2,7,2
물질,2,1,0,23,1,0,3,2,4,3,2,2,10,6,0,2,1
부탄가스,0,0,1,1,3,0,4,3,6,2,0,1,0,2,1,2,0
상태,0,1,2,0,0,3,0,0,0,1,0,0,4,0,0,3,0
소각,0,0,2,3,4,0,11,6,13,4,0,2,0,3,2,4,1
소각장,0,0,1,2,3,0,6,6,9,3,0,2,0,2,1,1,0
쓰레기,0,0,2,4,6,0,13,9,22,5,0,3,0,5,2,5,1
용기,1,0,2,3,2,1,4,3,5,4,1,1,1,1,1,3,0
우측,3,0,1,2,0,0,0,0,0,1,7,1,1,0,6,6,1
인화,0,1,0,2,1,0,2,2,3,1,1,3,0,1,0,2,0
제거,1,8,5,10,0,4,0,0,0,1,1,0,30,2,0,7,0
청소,0,0,0,6,2,0,3,2,5,1,0,1,2,4,0,2,1
추정,3,0,2,0,1,0,2,1,2,1,6,0,0,0,11,8,0
폭발,3,4,7,2,2,3,4,1,5,3,6,2,7,2,8,20,3
현장,1,0,2,1,0,0,1,0,1,0,1,0,0,1,0,3,3
