,가스,고철,구멍,드럼,드럼통,뚜껑,머리,바닥,부상,부위,분리,불꽃,산소,상단,상부,압력,용접,용접기,의식,이마,절단,절단기,제거,폭_,폭발,현장
가스,12,2,0,4,28,3,0,3,0,0,0,3,3,7,2,0,0,1,0,0,6,0,9,0,7,4
고철,2,3,4,0,13,2,0,1,0,2,1,1,2,0,1,0,0,0,0,3,1,2,2,1,1,0
구멍,0,4,11,0,18,3,0,0,0,6,3,0,4,0,0,0,1,1,0,9,1,4,0,3,1,0
드럼,4,0,0,6,10,1,0,0,0,0,0,0,3,7,0,0,0,1,0,0,6,0,5,0,1,2
드럼통,28,13,18,10,241,35,7,12,5,12,8,11,28,13,17,10,18,13,5,13,37,25,30,6,56,21
뚜껑,3,2,3,1,35,17,4,1,3,5,2,1,6,0,3,2,0,2,1,5,5,9,5,2,7,4
머리,0,0,0,0,7,4,4,0,1,2,0,0,1,0,0,0,0,0,1,2,2,2,1,1,2,1
바닥,3,1,0,0,12,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,1
부상,0,0,0,0,5,3,1,0,3,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,3,0
부위,0,2,6,0,12,5,2,0,0,9,2,0,3,0,1,1,0,0,2,10,2,5,1,2,3,0
분리,0,1,3,0,8,2,0,0,0,2,3,1,2,0,0,1,0,0,1,3,1,2,0,2,1,1
불꽃,3,1,0,0,11,1,0,1,0,0,1,3,1,1,1,1,0,1,1,0,1,0,2,0,3,0
산소,3,2,4,3,28,6,1,0,0,3,2,1,10,5,4,2,0,3,0,3,9,6,5,2,3,4
상단,7,0,0,7,13,0,0,0,0,0,0,1,5,11,0,0,0,2,0,0,9,0,7,0,2,3
상부,2,1,0,0,17,3,0,1,0,1,0,1,4,0,7,2,0,2,0,0,2,2,3,0,2,2
압력,0,0,0,0,10,2,0,0,0,1,1,1,2,0,2,3,0,0,1,0,2,2,1,0,2,0
용접,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,6,3
용접기,1,0,1,1,13,2,0,0,1,0,0,1,3,2,2,0,1,5,0,0,3,1,1,0,4,1
의식,0,0,0,0,5,1,1,0,0,2,1,1,0,0,0,1,1,0,3,2,1,1,0,0,3,0
이마,0,3,9,0,13,5,2,0,0,10,3,0,3,0,0,0,0,0,2,14,3,5,0,3,2,1
절단,6,1,1,6,37,5,2,0,2,2,1,1,9,9,2,2,0,3,1,3,24,8,6,1,12,6
절단기,0,2,4,0,25,9,2,0,2,5,2,0,6,0,2,2,0,1,1,5,8,10,2,2,6,3
제거,9,2,0,5,30,5,1,3,0,1,0,2,5,7,3,1,0,1,0,0,6,2,12,0,5,4
폭_,0,1,3,0,6,2,1,0,0,2,2,0,2,0,0,0,0,0,0,3,1,2,0,3,0,1
폭발,7,1,1,1,56,7,2,3,3,3,1,3,3,2,2,2,6,4,3,2,12,6,5,0,27,5
현장,4,0,0,2,21,4,1,1,0,0,1,0,4,3,2,0,3,1,0,1,6,3,4,1,5,9
