,가스,게이지,교체,내용,당시,동시,머리,바닥,반응,밸브,번지,부위,비산,사원,산소,상처,상태,상해,소재,시험,실험,실험실,안전,압_,압력,에어,연결,용기,용접부,유리,장내,장소,장치,점검,주변,주입,진행,충격,테스트,투입,파손,파열,파편,폭_,폭발,플라스크,플라스틱,화학,회사
가스,18,2,5,4,0,3,2,1,1,5,0,0,0,0,3,1,3,1,2,0,0,0,6,0,5,0,0,12,2,1,0,5,1,3,4,2,1,0,0,0,0,4,2,1,3,3,0,1,0
게이지,2,3,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
교체,5,3,7,1,0,1,0,0,0,3,0,0,0,0,4,0,1,1,1,0,0,0,2,0,5,0,2,4,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0
내용,4,0,1,3,1,1,2,1,4,1,0,0,0,0,0,0,1,0,0,0,3,0,3,0,4,0,0,1,1,1,0,1,0,1,2,1,1,0,0,0,0,1,1,0,2,1,0,0,0
당시,0,0,0,1,4,0,3,1,4,1,0,0,0,0,0,1,1,0,0,0,4,1,1,0,6,0,0,4,0,4,0,0,0,0,1,0,1,3,0,0,1,0,4,0,3,1,0,0,1
동시,3,0,1,1,0,3,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0
머리,2,0,0,2,3,0,14,5,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,5,0,0,7,2,6,0,0,0,0,0,2,0,4,0,0,1,2,6,2,0,0,4,0,2
바닥,1,0,0,1,1,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,6,1,1,0,0,0,0,0,1,0,3,0,1,1,1,1,0,1,0,2,3,1
반응,1,0,0,4,4,0,0,1,21,4,1,3,0,0,0,1,0,1,0,0,12,0,4,0,13,0,1,9,0,5,0,0,0,0,5,0,5,0,0,2,0,2,6,0,12,7,2,6,0
밸브,5,2,3,1,1,0,0,0,4,8,0,0,0,0,9,0,0,1,2,0,3,0,1,0,8,0,0,8,0,1,0,2,0,1,1,0,1,1,0,0,0,0,1,1,5,1,0,0,0
번지,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,3,2,0,0,0,0,4,1,1,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,2,1,2,0,0,0,0
부위,0,0,0,0,0,1,0,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,6,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,4,0,4,3,0
비산,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,3,0,2,1,0,0,0
사원,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,0
산소,3,1,4,0,0,2,0,0,0,9,0,0,0,1,25,0,0,3,1,0,0,0,0,0,12,0,0,17,0,0,0,1,0,3,0,0,0,5,0,0,0,2,0,1,9,0,0,0,0
상처,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,1,0,1,0,1,0,0,2,5,0,1,3,0,1,1
상태,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,0,1,5,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
상해,1,0,1,0,0,0,0,0,1,1,1,0,0,0,3,1,0,3,1,0,0,0,0,0,2,1,0,6,0,1,0,0,0,0,1,0,1,1,0,0,0,2,2,1,1,3,0,1,0
