,공업,과열,내화물,대기실,대피,동제,드릴,락_,련_,보수,보일러,비산,사업,상기,상단,손상,수리,수상,시작,알콜,업체,용접,용해,용해로,울산,원당,유증,일진,장내,정리,제련,주변,중공업,진행,처리,카_,통이,투입,페인트,포스코,폭발,하도급,해체,현장,회사
공업,3,0,2,1,2,3,0,0,3,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,1,0,0,2,0,0,0,0,3,3,3,0,0,0
과열,0,3,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0
내화물,2,0,6,3,3,4,0,0,4,4,0,0,0,0,1,0,0,0,2,0,2,0,0,0,4,0,0,2,0,0,6,1,0,0,1,0,0,0,0,2,4,2,2,0,0
대기실,1,0,3,3,4,3,0,0,3,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,3,1,2,0,0
대피,2,0,3,4,7,5,0,0,5,4,0,0,0,1,3,0,0,0,1,0,2,0,0,0,5,0,0,2,0,0,8,0,0,2,1,0,0,0,0,2,5,2,3,0,0
동제,3,0,4,3,5,5,0,0,5,4,0,0,0,1,2,0,0,0,1,0,3,0,0,0,5,0,0,3,0,0,7,1,0,1,2,0,0,0,0,3,5,3,2,0,0
드릴,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,0,0,0
락_,0,2,0,0,0,0,1,7,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,6,1,0,1,0,5,0,0,0,0
련_,3,0,4,3,5,5,0,0,5,4,0,0,0,1,2,0,0,0,1,0,3,0,0,0,5,0,0,3,0,0,7,1,0,1,2,0,0,0,0,3,5,3,2,0,0
보수,2,1,4,3,4,4,0,0,4,5,0,0,0,0,2,0,0,0,1,1,2,0,0,0,4,0,0,2,0,0,6,1,0,1,1,0,0,0,0,2,5,2,2,0,0
보일러,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
비산,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
사업,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0
상기,1,1,0,0,1,1,2,2,1,0,0,0,0,10,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,8,1,0,0,0
상단,1,0,1,2,3,2,0,0,2,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,3,0,1,1,0,0,0,0,0,1,3,1,1,0,0
손상,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0
수리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,1
수상,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
시작,0,0,2,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,1,0,0
알콜,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
