,공기,공기압,소리,수리,에어,점검,주입,지게차,차량,출장,타이어,펑크,현장,휠_
공기,5,2,1,0,0,0,5,0,2,0,11,0,1,2
공기압,2,15,3,2,0,0,3,0,2,1,23,1,2,1
소리,1,3,4,2,1,1,2,2,1,1,11,1,1,0
수리,0,2,2,10,2,1,2,2,3,6,14,5,1,0
에어,0,0,1,2,4,1,1,2,2,3,11,1,0,0
점검,0,0,1,1,1,6,0,2,3,0,11,1,1,0
주입,5,3,2,2,1,0,11,0,3,1,17,1,5,2
지게차,0,0,2,2,2,2,0,13,0,0,14,0,0,0
차량,2,2,1,3,2,3,3,0,6,2,14,2,2,0
출장,0,1,1,6,3,0,1,0,2,6,11,3,0,0
타이어,11,23,11,14,11,11,17,14,14,11,132,7,7,7
펑크,0,1,1,5,1,1,1,0,2,3,7,3,1,0
현장,1,2,1,1,0,1,5,0,2,0,7,1,6,0
휠_,2,1,0,0,0,0,2,0,0,0,7,0,0,3
