,가스,누출,밸브,부산시,부상,부위,블록,사하구,산소,소리,식사,오리엔트,용접,용접기,절단,절단기,조선,주방,준비,중공업,추정,폭발,호스
가스,52,18,2,3,5,3,4,2,10,22,4,3,13,5,24,29,4,3,6,1,5,23,22
누출,18,19,1,1,5,3,4,1,8,1,3,1,4,5,5,8,2,3,4,1,5,19,2
밸브,2,1,3,0,0,0,3,0,1,0,0,0,1,1,1,6,1,0,0,1,0,4,0
부산시,3,1,0,4,0,0,1,3,1,1,0,2,0,0,1,4,2,0,1,0,0,3,0
부상,5,5,0,0,5,2,2,0,0,0,1,0,0,0,1,0,0,3,3,1,1,6,1
부위,3,3,0,0,2,6,0,0,5,0,0,0,0,0,2,4,0,0,0,1,1,5,3
블록,4,4,3,1,2,0,15,1,3,0,0,1,0,0,1,16,2,0,3,5,3,9,0
사하구,2,1,0,3,0,0,1,3,0,1,0,2,0,0,1,3,2,0,1,0,0,2,0
산소,10,8,1,1,0,5,3,0,21,1,2,1,3,2,3,20,0,0,0,3,4,10,3
소리,22,1,0,1,0,0,0,1,1,18,0,1,4,1,12,14,1,0,1,0,1,0,16
식사,4,3,0,0,1,0,0,0,2,0,3,0,3,1,2,2,0,1,1,0,0,3,0
오리엔트,3,1,0,2,0,0,1,2,1,1,0,3,0,0,1,3,2,0,1,0,0,2,0
용접,13,4,1,0,0,0,0,0,3,4,3,0,9,3,8,8,1,0,0,0,1,7,4
용접기,5,5,1,0,0,0,0,0,2,1,1,0,3,7,0,2,0,0,0,0,3,6,0
절단,24,5,1,1,1,2,1,1,3,12,2,1,8,0,19,15,2,0,1,0,1,8,13
절단기,29,8,6,4,0,4,16,3,20,14,2,3,8,2,15,54,3,0,1,7,3,23,14
조선,4,2,1,2,0,0,2,2,0,1,0,2,1,0,2,3,4,0,2,0,1,2,0
주방,3,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,3,0
준비,6,4,0,1,3,0,3,1,0,1,1,1,0,0,1,1,2,2,5,1,2,3,0
중공업,1,1,1,0,1,1,5,0,3,0,0,0,0,0,0,7,0,0,1,3,1,3,0
추정,5,5,0,0,1,1,3,0,4,1,0,0,1,3,1,3,1,0,2,1,5,4,1
폭발,23,19,4,3,6,5,9,2,10,0,3,2,7,6,8,23,2,3,3,3,4,34,3
호스,22,2,0,0,1,3,0,0,3,16,0,0,4,0,13,14,0,0,0,0,1,3,18
