,가스통,교체,라이터,바닥,밸브,산소,소재,연결,용접,용접기,장소,절단,제품,진행,토치,폭발,현장,호스,회사
가스통,6,2,0,0,2,7,0,3,0,0,2,1,0,1,0,1,0,2,0
교체,2,6,1,1,0,7,1,2,1,1,0,2,0,2,0,3,1,0,2
라이터,0,1,3,1,1,6,1,0,4,3,0,0,0,0,0,3,1,0,3
바닥,0,1,1,3,1,7,1,0,2,1,0,0,0,0,2,2,2,1,2
밸브,2,0,1,1,8,17,2,1,2,5,3,0,2,0,6,4,1,4,0
산소,7,7,6,7,17,85,7,6,12,13,8,10,8,6,20,29,7,28,10
소재,0,1,1,1,2,7,3,0,1,3,1,2,1,1,0,2,1,0,2
연결,3,2,0,0,1,6,0,3,0,0,1,1,0,2,0,2,0,3,0
용접,0,1,4,2,2,12,1,0,7,4,0,0,0,0,2,4,2,1,4
용접기,0,1,3,1,5,13,3,0,4,8,2,0,6,0,0,6,1,0,4
장소,2,0,0,0,3,8,1,1,0,2,3,0,1,0,0,2,0,4,0
절단,1,2,0,0,0,10,2,1,0,0,0,15,0,3,2,9,0,2,3
제품,0,0,0,0,2,8,1,0,0,6,1,0,18,0,0,6,1,0,5
진행,1,2,0,0,0,6,1,2,0,0,0,3,0,3,0,2,0,2,0
토치,0,0,0,2,6,20,0,0,2,0,0,2,0,0,21,5,2,10,0
폭발,1,3,3,2,4,29,2,2,4,6,2,9,6,2,5,20,2,11,8
현장,0,1,1,2,1,7,1,0,2,1,0,0,1,0,2,2,3,1,3
호스,2,0,0,1,4,28,0,3,1,0,4,2,0,2,10,11,1,23,1
회사,0,2,3,2,0,10,2,0,4,4,0,3,5,0,0,8,3,1,10
