,가스,건조,결함,기계,번지,불량,산소,상태,소리,소재,스파크,용접,유증,작동,제품,투입,폭발,현장
가스,11,0,2,15,0,0,1,0,2,0,0,6,0,1,0,0,8,1
건조,0,6,0,4,0,0,0,2,0,3,2,0,0,0,0,2,4,1
결함,2,0,3,7,0,0,0,0,1,0,1,0,0,2,0,1,4,1
기계,15,4,7,91,3,3,5,9,10,4,6,7,6,10,4,7,42,4
번지,0,0,0,3,3,2,0,2,0,0,0,0,0,0,4,0,3,1
불량,0,0,0,3,2,3,0,1,0,0,0,0,0,0,3,0,2,1
산소,1,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,1,0
상태,0,2,0,9,2,1,0,6,1,1,2,0,0,0,2,2,5,2
소리,2,0,1,10,0,0,0,1,3,0,1,0,1,0,0,0,4,0
소재,0,3,0,4,0,0,1,1,0,4,1,1,2,0,0,1,3,0
스파크,0,2,1,6,0,0,0,2,1,1,4,0,1,0,0,3,4,2
용접,6,0,0,7,0,0,0,0,0,1,0,9,2,0,0,0,5,2
유증,0,0,0,6,0,0,0,0,1,2,1,2,6,0,0,2,4,0
작동,1,0,2,10,0,0,0,0,0,0,0,0,0,7,0,0,4,0
제품,0,0,0,4,4,3,0,2,0,0,0,0,0,0,6,0,4,1
투입,0,2,1,7,0,0,0,2,0,1,3,0,2,0,0,8,6,2
폭발,8,4,4,42,3,2,1,5,4,3,4,5,4,4,4,6,31,4
현장,1,1,1,4,1,1,0,2,0,0,2,2,0,0,1,2,4,4
