,드럼,물질,밀폐,바닥,분리,불상,산소,상기,소재,용기,용접,장소,추정,파열,폭발,혼합,화학
드럼,121,7,7,11,11,0,6,10,13,5,7,9,11,6,36,18,12
물질,7,11,1,0,0,0,2,0,0,1,0,3,1,3,2,6,10
밀폐,7,1,3,1,1,0,2,0,1,2,1,0,1,1,2,0,0
바닥,11,0,1,3,1,0,0,1,2,0,1,0,0,1,3,2,1
분리,11,0,1,1,3,0,1,1,1,1,0,0,0,0,3,2,1
불상,0,0,0,0,0,3,0,0,0,2,0,0,1,0,3,3,0
산소,6,2,2,0,1,0,3,0,0,2,0,0,1,0,3,0,1
상기,10,0,0,1,1,0,0,3,2,0,0,0,0,0,3,2,1
소재,13,0,1,2,1,0,0,2,4,0,3,0,0,1,3,2,1
용기,5,1,2,0,1,2,2,0,0,4,0,0,1,0,4,2,0
용접,7,0,1,1,0,0,0,0,3,0,6,1,0,1,3,0,0
장소,9,3,0,0,0,0,0,0,0,0,1,4,2,2,4,2,3
추정,11,1,1,0,0,1,1,0,0,1,0,2,6,0,8,1,0
파열,6,3,1,1,0,0,0,0,1,0,1,2,0,3,0,2,3
폭발,36,2,2,3,3,3,3,3,3,4,3,4,8,0,27,7,2
혼합,18,6,0,2,2,3,0,2,2,2,0,2,1,2,7,15,8
화학,12,10,0,1,1,0,1,1,1,0,0,3,0,3,2,8,11
