,가스,보일러,상태,소리,소재,스위치,스파크,연결,열_,장치,전기,차량,치료,폭_,폭발,현장,호스
가스,20,0,1,7,0,0,7,8,0,0,2,4,0,2,1,2,5
보일러,0,3,0,2,1,1,0,1,1,0,2,0,1,1,2,0,0
상태,1,0,4,3,0,1,1,0,0,0,3,0,0,0,0,0,2
소리,7,2,3,29,1,1,3,5,1,1,3,3,3,5,5,4,6
소재,0,1,0,1,11,2,1,0,0,0,7,0,5,0,6,0,0
스위치,0,1,1,1,2,4,2,0,0,0,6,0,2,0,4,0,0
스파크,7,0,1,3,1,2,11,2,1,1,9,1,1,0,6,5,1
연결,8,1,0,5,0,0,2,6,1,0,1,2,0,1,0,1,3
열_,0,1,0,1,0,0,1,1,3,2,3,0,0,1,2,1,0
장치,0,0,0,1,0,0,1,0,2,3,3,1,1,0,2,1,0
전기,2,2,3,3,7,6,9,1,3,3,32,1,4,1,13,4,0
차량,4,0,0,3,0,0,1,2,0,1,1,3,1,0,0,0,1
치료,0,1,0,3,5,2,1,0,0,1,4,1,5,0,5,1,0
폭_,2,1,0,5,0,0,0,1,1,0,1,0,0,6,0,0,0
폭발,1,2,0,5,6,4,6,0,2,2,13,0,5,0,17,4,0
현장,2,0,0,4,0,0,5,1,1,1,4,0,1,0,4,8,1
호스,5,0,2,6,0,0,1,3,0,0,0,1,0,0,0,1,5
