,가스,뚜껑,부상,사업,상기,상부,설치,세척,소재,압력,에어,연료,완료,용접,유증,인화,장내,저장,전신,절단,주입,지하,차량,청소,치료,탱크,투입,특장,파편,폭발,하부,현장,후송
가스,40,0,0,0,0,0,0,0,3,0,0,0,6,2,0,6,0,12,6,1,0,0,0,0,1,20,2,0,0,10,0,24,6
뚜껑,0,6,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,7,1,0,0,4,2,0,0
부상,0,0,3,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,0
사업,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,3,4,1,0,1,0,2,1,0,5,0,1,1,2,1,0,0
상기,0,0,0,0,6,0,0,1,0,0,2,2,0,4,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,4,0,2,0
상부,0,2,0,0,0,8,5,1,3,1,2,3,1,2,2,1,0,2,0,0,0,0,1,0,3,11,0,2,0,5,1,0,1
설치,0,0,0,1,0,5,7,0,1,2,5,0,0,1,0,0,1,1,0,0,0,0,0,0,1,8,0,2,0,3,0,0,1
세척,0,2,0,0,1,1,0,4,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,9,0,0,0,2,1,1,1
소재,3,0,0,0,0,3,1,0,14,1,0,3,2,6,4,0,0,3,0,2,1,0,1,0,5,22,0,0,0,9,1,0,1
압력,0,0,1,0,0,1,2,0,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,1
에어,0,0,5,0,2,2,5,0,0,4,24,1,0,2,0,0,1,0,0,0,3,0,3,0,0,26,0,1,1,8,0,0,0
연료,0,0,0,0,2,3,0,0,3,0,1,12,0,9,3,0,0,0,0,0,0,0,4,0,3,12,0,1,0,5,0,0,0
완료,6,0,0,0,0,1,0,0,2,0,0,0,3,0,0,1,0,5,1,0,0,0,0,0,1,5,0,0,0,3,1,4,1
용접,2,0,0,1,4,2,1,2,6,0,2,9,0,17,3,0,1,1,0,1,0,0,4,0,3,23,0,0,0,9,0,0,0
유증,0,2,0,0,1,2,0,1,4,0,0,3,0,3,11,3,0,3,1,0,1,2,2,4,1,18,0,0,0,9,1,1,0
인화,6,2,0,0,0,1,0,1,0,0,0,0,1,0,3,3,0,3,1,0,0,0,0,2,0,6,0,0,0,3,1,4,1
장내,0,0,1,3,0,0,1,0,0,1,1,0,0,1,0,0,4,4,1,0,1,0,2,1,0,7,0,1,1,3,1,0,0
저장,12,0,0,4,0,2,1,0,3,0,0,0,5,1,3,3,4,21,3,0,3,0,7,2,2,22,0,3,3,8,4,8,2
전신,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3,3,0,0,0,1,1,0,4,0,0,0,3,0,4,1
절단,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,4,0,0,0,2,0,0,1
주입,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,1,3,0,0,11,0,8,0,0,13,0,1,1,1,1,0,0
지하,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,14,0,0,0,14,0,0,0,5,0,0,1
차량,0,0,0,2,2,1,0,0,1,0,3,4,0,4,2,0,2,7,1,0,8,0,12,0,1,19,0,2,2,4,2,0,0
청소,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1,0,0,0,0,9,0,7,0,0,0,5,0,0,0
치료,1,0,0,0,0,3,1,0,5,1,0,3,1,3,1,0,0,2,0,1,0,0,1,0,4,9,0,0,0,3,0,0,1
탱크,20,7,5,5,7,11,8,9,22,7,26,12,5,23,18,6,7,22,4,4,13,14,19,7,9,175,8,5,6,61,6,13,5
투입,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,3,0,0,0
특장,0,0,0,1,0,2,2,0,0,0,1,1,0,0,0,0,1,3,0,0,1,0,2,0,0,5,0,3,1,1,1,0,0
파편,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,2,0,0,6,0,1,3,3,1,0,0
폭발,10,4,3,2,4,5,3,2,9,1,8,5,3,9,9,3,3,8,3,2,1,5,4,5,3,61,3,1,3,35,2,6,1
하부,0,2,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,4,0,0,1,0,2,0,0,6,0,1,1,2,3,0,0
현장,24,0,0,0,2,0,0,1,0,0,0,0,4,0,1,4,0,8,4,0,0,0,0,0,0,13,0,0,0,6,0,18,4
후송,6,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,2,1,1,0,1,0,0,1,5,0,0,0,1,0,4,3
