,견해,경고,공단,과태료,내용,도구,락_,목적,배터리,법_,보고,보험,부과,사실,사유,산업재,산재,작성,장소,제출,조사,조사표,조치,처리,처분,카_,카통,파편,폭발
견해,11,3,3,5,11,11,9,11,4,3,17,4,3,4,22,8,8,3,11,5,12,7,6,8,3,4,5,4,9
경고,3,3,1,0,3,3,3,3,0,1,5,1,0,2,6,3,3,0,3,1,3,2,4,2,1,1,2,2,3
공단,3,1,3,1,3,3,0,3,1,1,5,2,1,3,6,5,6,2,3,4,4,5,2,1,2,0,0,3,2
과태료,5,0,1,5,5,5,6,5,1,2,8,3,3,0,10,4,1,2,5,2,5,3,1,6,2,3,3,2,4
내용,11,3,3,5,12,11,9,11,4,3,17,4,3,4,22,8,8,3,12,5,13,7,6,8,3,4,5,4,10
도구,11,3,3,5,11,11,9,11,4,3,17,4,3,4,22,8,8,3,11,5,12,7,6,8,3,4,5,4,9
락_,9,3,0,6,9,9,23,9,0,0,17,3,6,2,18,5,1,0,9,3,9,3,6,14,0,10,13,0,6
목적,11,3,3,5,11,11,9,11,4,3,17,4,3,4,22,8,8,3,11,5,12,7,6,8,3,4,5,4,9
배터리,4,0,1,1,4,4,0,4,6,1,6,1,0,2,8,2,5,2,4,2,5,3,2,1,1,0,0,1,2
법_,3,1,1,2,3,3,0,3,1,3,4,2,0,1,6,3,2,1,3,1,3,3,2,1,2,0,0,3,4
보고,17,5,5,8,17,17,17,17,6,4,29,7,6,6,34,14,12,4,17,8,18,11,11,13,5,7,10,7,12
보험,4,1,2,3,4,4,3,4,1,2,7,4,2,1,8,5,3,2,4,2,4,4,2,3,3,1,2,4,3
부과,3,0,1,3,3,3,6,3,0,0,6,2,3,0,6,3,1,1,3,2,3,2,1,5,1,3,3,1,1
사실,4,2,3,0,4,4,2,4,2,1,6,1,0,6,8,5,8,2,4,5,6,6,3,0,1,0,2,2,4
사유,22,6,6,10,22,22,18,22,8,6,34,8,6,8,44,16,16,6,22,10,24,14,12,16,6,8,10,8,18
산업재,8,3,5,4,8,8,5,8,2,3,14,5,3,5,16,12,9,4,8,7,9,10,6,6,5,2,3,7,5
산재,8,3,6,1,8,8,1,8,5,2,12,3,1,8,16,9,16,4,8,9,11,11,6,3,3,1,0,5,6
작성,3,0,2,2,3,3,0,3,2,1,4,2,1,2,6,4,4,3,3,3,4,4,0,2,2,0,0,2,2
장소,11,3,3,5,12,11,9,11,4,3,17,4,3,4,22,8,8,3,12,5,13,7,6,8,3,4,5,4,10
제출,5,1,4,2,5,5,3,5,2,1,8,2,2,5,10,7,9,3,5,7,7,8,3,4,2,2,1,3,3
조사,12,3,4,5,13,12,9,12,5,3,18,4,3,6,24,9,11,4,13,7,16,9,6,8,3,4,5,4,11
조사표,7,2,5,3,7,7,3,7,3,3,11,4,2,6,14,10,11,4,7,8,9,11,5,5,4,2,1,6,5
조치,6,4,2,1,6,6,6,6,2,2,11,2,1,3,12,6,6,0,6,3,6,5,8,5,2,3,3,4,4
처리,8,2,1,6,8,8,14,8,1,1,13,3,5,0,16,6,3,2,8,4,8,5,5,16,2,9,5,2,4
처분,3,1,2,2,3,3,0,3,1,2,5,3,1,1,6,5,3,2,3,2,3,4,2,2,3,0,0,4,2
카_,4,1,0,3,4,4,10,4,0,0,7,1,3,0,8,2,1,0,4,2,4,2,3,9,0,6,4,0,2
카통,5,2,0,3,5,5,13,5,0,0,10,2,3,2,10,3,0,0,5,1,5,1,3,5,0,4,9,0,4
파편,4,2,3,2,4,4,0,4,1,3,7,4,1,2,8,7,5,2,4,3,4,6,4,2,4,0,0,6,3
폭발,9,3,2,4,10,9,6,9,2,4,12,3,1,4,18,5,6,2,10,3,11,5,4,4,2,2,4,3,12
