,기계,당사,물질,발견,발화,부위,불꽃,불명,사업,산소,소재,옷_,용접,인화,장내,치료,현장
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,0,0,2,0,0,0,2,0,2,0,0,0,1,2,2,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0
12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
13,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1
19,3,1,0,0,0,3,0,0,1,0,1,0,0,0,1,1,0
20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
25,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0,0
26,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0
27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0
