,가슴,건조,근무,기름,난로,당사,바지,부위,상기,알코올,옷_,용접,작업복,장갑,주물,준비,치료,허벅지,현장,회사
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
23,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
24,3,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,1
25,0,1,1,0,0,1,0,0,1,7,0,0,0,0,1,0,0,0,0,1
26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
28,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
29,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
30,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1
32,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
33,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1
34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
