,공급,공기,그라인더,당시,라인,발화,배관,밸브,부산,불꽃,불똥,비산,산소,상반신,상의,상태,소재,시경,시작,에어,연결,옷_,용접,자켓,작업복,잭_,전문,제거,제작,제품,조끼,주입,중공업,착용,취부,치료,폭발,해임,현장,호스
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,1,1,0,0,0
3,0,3,0,0,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,5,3,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,6,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,1,0,0,1,0,0,1,0,2,0,0,2,0,0,1,0,1,1,2,0,0,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2
14,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
