,견해,경고,고의,과태료,내용,도구,목적,미만,보고,보험,부과,사유,산업재,산재,상태,소재,요양,의거,이내,장소,제출,조사,조사표,조치,종결,지침,처리,처분,최근,치료,판단,현장
0,1,1,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
1,1,1,1,0,1,1,1,1,1,0,0,2,1,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,0,1,0
2,1,1,1,0,1,1,1,1,1,0,0,2,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1
3,1,1,0,0,1,1,1,0,1,0,0,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,5,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5,1,0,0,1,1,1,1,0,2,2,0,2,3,0,0,1,2,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
6,1,1,1,0,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0
7,1,0,0,1,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8,1,0,0,1,1,1,1,0,2,0,1,2,1,1,0,0,1,1,1,1,1,2,1,0,0,1,1,0,0,0,0,0
9,1,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0
10,1,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2
11,1,0,0,1,1,1,1,0,1,2,1,2,1,1,4,0,0,0,0,1,1,2,1,0,0,1,3,0,0,0,2,0
