,결과,교체,발화,배관,번_,비산,사이,선_,소재,스파크,용접,인화,작업복,주변,준비,탱크,현장
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0
6,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0
9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
10,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
11,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,2,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,1
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0
17,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
18,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
19,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
20,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0
21,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
