,난로,부위,불길,세척,신나,앞_,옷_,장갑,제품,채_,페인트,현장
0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,1,1,0,2,0,0,0,1
2,0,0,0,1,2,1,0,0,1,0,0,0
3,0,0,0,0,1,0,0,2,0,1,0,0
4,0,0,0,0,3,0,0,0,0,0,1,1
5,0,0,0,0,2,0,0,3,0,2,1,0
6,0,0,0,0,1,0,0,2,1,0,0,0
7,1,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,1,0,0,3,0,1,1,0
9,1,0,0,0,0,1,0,1,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,2,0,0,0,2,0
12,0,0,0,0,2,0,0,0,0,0,0,0
13,2,0,1,0,1,0,0,0,0,0,0,1
14,1,0,0,0,1,0,0,0,1,0,0,1
15,1,0,0,0,2,0,2,0,0,0,0,0
16,3,0,0,0,1,0,0,0,1,0,0,0
17,3,0,0,3,3,0,0,2,0,0,0,1
18,2,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,1,0,0,0,0,0,0,1
20,0,0,0,1,1,0,0,0,1,0,0,0
21,1,1,1,0,0,0,0,0,0,0,0,0
22,1,1,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,1
24,0,0,0,0,1,0,0,0,0,0,0,0
25,0,0,0,0,1,0,0,0,0,0,1,0
26,1,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,1,0,0,0,0,0,0,0
28,2,1,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,1,0,0,0,0,0,0,1
30,2,0,1,0,1,0,0,1,0,0,0,0
31,1,0,0,0,1,0,2,0,0,0,0,1
32,1,0,1,0,0,0,0,0,0,0,0,0
