,강서구,건조,기계,당사,도포,도형,도형제,바지,번지,보수,부산,부산시,부위,불꽃,사내,사업,상기,상태,소재,송정동,알코올,알콜,양손,옷_,용접,용해로,작업복,장갑,장내,전원,절단,제거,제품,주물,주물사,중자,추정,투입,페트병,하부,학장동,해임,현장,화기,회사
강서구,11,2,1,1,4,0,2,0,1,0,3,7,1,1,1,1,0,1,11,6,0,0,0,5,4,1,2,0,1,1,1,2,2,0,0,0,1,1,0,1,0,0,0,2,0
건조,2,7,1,0,8,0,7,2,1,0,2,0,0,0,0,1,0,0,4,2,1,2,0,0,0,1,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0
기계,1,1,3,1,4,0,2,1,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
당사,1,0,1,3,0,3,4,0,0,0,0,1,0,0,0,2,0,1,3,0,0,1,0,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
도포,4,8,4,0,30,0,17,3,4,2,4,0,2,0,0,3,0,0,5,4,6,2,0,0,0,1,7,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,4,0
도형,0,0,0,3,0,7,8,0,0,0,0,1,0,0,0,2,0,2,4,0,0,3,0,3,0,0,7,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,2,1,1
도형제,2,7,2,4,17,8,51,5,2,0,2,0,0,0,0,4,2,4,6,2,2,5,0,6,0,0,21,2,3,0,0,0,2,0,2,10,0,0,0,0,0,0,4,4,2
바지,0,2,1,0,3,0,5,6,0,1,0,0,1,0,1,1,1,0,3,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
번지,1,1,0,0,4,0,2,0,3,2,1,0,1,1,0,0,0,1,3,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0
보수,0,0,0,0,2,0,0,1,2,9,0,0,4,2,1,0,0,2,2,0,3,6,0,0,0,3,3,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0
