,기계,당사,물질,발견,발화,부위,불꽃,불명,사업,산소,소재,옷_,용접,인화,장내,치료,현장
기계,11,3,0,1,0,9,0,1,5,0,4,1,0,0,5,4,0
당사,3,3,0,0,0,3,0,1,2,0,1,0,0,0,3,1,0
물질,0,0,6,0,1,0,4,0,6,0,0,1,4,5,6,0,0
발견,1,0,0,3,0,0,0,0,2,0,1,1,0,0,3,1,1
발화,0,0,1,0,3,1,1,0,3,0,0,1,0,0,3,0,0
부위,9,3,0,0,1,11,1,0,5,0,3,0,1,0,5,4,1
불꽃,0,0,4,0,1,1,10,0,9,3,2,2,5,4,10,1,2
불명,1,1,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0
사업,5,2,6,2,3,5,9,3,29,4,4,4,10,6,28,3,1
산소,0,0,0,0,0,0,3,0,4,6,2,3,1,0,4,0,0
소재,4,1,0,1,0,3,2,0,4,2,4,2,2,0,4,2,0
옷_,1,0,1,1,1,0,2,0,4,3,2,4,0,0,4,1,0
용접,0,0,4,0,0,1,5,0,10,1,2,0,15,4,10,1,1
인화,0,0,5,0,0,0,4,0,6,0,0,0,4,6,5,0,0
장내,5,3,6,3,3,5,10,4,28,4,4,4,10,5,31,3,3
치료,4,1,0,1,0,4,1,0,3,0,2,1,1,0,3,3,1
현장,0,0,0,1,0,1,2,0,1,0,0,0,1,0,3,1,3
