,가슴,건조,근무,기름,난로,당사,바지,부위,상기,알코올,옷_,용접,작업복,장갑,주물,준비,치료,허벅지,현장,회사
가슴,14,0,0,5,0,0,0,2,0,0,9,0,6,3,0,0,0,2,5,3
건조,0,3,2,0,0,1,0,0,1,8,0,0,0,0,1,0,0,1,1,1
근무,0,2,10,3,0,2,2,1,1,8,0,0,1,1,1,3,1,3,2,3
기름,5,0,3,29,5,1,5,3,4,0,5,2,1,4,0,6,1,5,6,6
난로,0,0,0,5,7,0,2,0,4,0,3,0,1,0,0,0,0,0,1,3
당사,0,1,2,1,0,3,0,0,1,7,0,0,0,0,1,1,1,1,0,1
바지,0,0,2,5,2,0,9,0,0,0,2,0,1,4,2,1,0,2,2,3
부위,2,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0
상기,0,1,1,4,4,1,0,1,7,7,0,0,0,0,1,0,1,1,0,4
알코올,0,8,8,0,0,7,0,0,7,52,0,0,0,0,7,0,0,1,1,9
옷_,9,0,0,5,3,0,2,0,0,0,17,0,8,3,0,1,0,0,4,4
용접,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,1,2,0,0,1
작업복,6,0,1,1,1,0,1,0,0,0,8,0,6,2,0,0,0,1,2,2
장갑,3,0,1,4,0,0,4,0,0,0,3,2,2,11,1,3,4,1,2,4
주물,0,1,1,0,0,1,2,0,1,7,0,0,0,1,3,0,0,0,0,2
준비,0,0,3,6,0,1,1,0,0,0,1,1,0,3,0,6,3,2,2,2
치료,0,0,1,1,0,1,0,0,1,0,0,2,0,4,0,3,6,1,0,3
허벅지,2,1,3,5,0,1,2,2,1,1,0,0,1,1,0,2,1,7,2,2
현장,5,1,2,6,1,0,2,1,0,1,4,0,2,2,0,2,0,2,7,3
회사,3,1,3,6,3,1,3,0,4,9,4,1,2,4,2,2,3,2,3,14
