,공급,공기,그라인더,당시,라인,발화,배관,밸브,부산,불꽃,불똥,비산,산소,상반신,상의,상태,소재,시경,시작,에어,연결,옷_,용접,자켓,작업복,잭_,전문,제거,제작,제품,조끼,주입,중공업,착용,취부,치료,폭발,해임,현장,호스
공급,20,10,1,2,10,5,2,0,0,5,1,1,16,1,0,1,2,0,0,8,11,0,3,2,9,4,0,0,1,0,3,1,0,0,0,3,0,3,0,1
공기,10,19,0,1,7,3,2,7,1,9,2,0,23,4,0,2,1,2,1,13,10,2,12,2,6,5,2,0,4,0,21,13,1,8,0,2,4,2,1,2
그라인더,1,0,6,0,1,0,1,2,0,2,2,1,7,2,0,1,4,0,0,10,7,1,2,2,0,2,0,1,0,1,5,0,0,3,0,1,0,1,0,1
당시,2,1,0,7,0,0,3,0,1,0,0,0,6,0,0,0,7,2,2,7,13,2,2,2,2,3,2,2,0,0,1,0,0,0,0,7,0,0,1,2
라인,10,7,1,0,46,4,0,1,0,13,0,6,37,2,0,1,0,1,1,7,26,6,3,1,5,2,0,0,2,0,6,4,0,1,0,0,0,2,0,2
발화,5,3,0,0,4,3,0,0,0,2,0,0,6,1,0,0,1,0,0,3,1,0,1,0,2,1,0,0,1,0,3,1,0,0,0,1,0,1,0,1
배관,2,2,1,3,0,0,15,0,0,1,3,0,6,0,1,0,9,2,5,3,8,0,9,0,1,0,2,4,1,2,0,0,0,1,1,10,0,2,0,0
밸브,0,7,2,0,1,0,0,9,0,4,0,0,10,2,0,1,0,1,1,6,10,0,5,0,1,0,0,0,2,0,12,8,0,5,0,0,2,0,0,2
부산,0,1,0,1,0,0,0,0,3,0,0,0,3,0,0,0,2,1,0,3,1,2,2,1,0,3,1,0,0,1,2,1,0,0,0,0,0,0,1,0
불꽃,5,9,2,0,13,2,1,4,0,17,0,2,20,3,3,3,1,2,2,14,11,2,11,4,6,3,0,0,3,1,13,8,0,8,1,0,1,1,0,4
불똥,1,2,2,0,0,0,3,0,0,0,5,0,6,1,0,0,3,0,0,9,2,0,6,0,0,0,1,1,0,0,6,1,2,2,0,2,1,1,0,1
비산,1,0,1,0,6,0,0,0,0,2,0,4,8,0,1,1,2,0,0,4,7,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
산소,16,23,7,6,37,6,6,10,3,20,6,8,83,9,3,3,12,4,2,52,55,9,31,17,9,11,3,1,7,1,37,18,3,10,6,7,7,6,4,15
상반신,1,4,2,0,2,1,0,2,0,3,1,0,9,4,0,0,2,0,0,8,5,1,1,0,0,2,0,0,2,1,12,4,0,2,0,0,1,1,0,1
상의,0,0,0,0,0,0,1,0,0,3,0,1,3,0,3,0,1,0,0,2,2,0,3,1,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1
상태,1,2,1,0,1,0,0,1,0,3,0,1,3,0,0,7,1,1,1,8,1,0,8,7,4,0,0,0,0,0,0,2,0,7,2,1,0,1,0,2
소재,2,1,4,7,0,1,9,0,2,1,3,2,12,2,1,1,27,3,5,18,17,1,11,6,1,2,4,6,0,3,6,1,1,2,0,17,2,1,1,5
시경,0,2,0,2,1,0,2,1,1,2,0,0,4,0,0,1,3,3,2,3,2,2,3,0,1,3,2,1,0,0,1,2,0,1,0,3,0,0,1,2
시작,0,1,0,2,1,0,5,1,0,2,0,0,2,0,0,1,5,2,4,2,3,0,4,0,1,0,1,2,0,1,0,2,0,1,0,5,0,0,0,2
에어,8,13,10,7,7,3,3,6,3,14,9,4,52,8,2,8,18,3,2,71,34,3,31,26,8,5,3,1,3,2,34,12,6,19,5,9,4,5,1,18
연결,11,10,7,13,26,1,8,10,1,11,2,7,55,5,2,1,17,2,3,34,74,8,18,12,8,9,2,2,3,3,19,6,0,7,3,12,4,2,3,9
옷_,0,2,1,2,6,0,0,0,2,2,0,1,9,1,0,0,1,2,0,3,8,6,0,0,0,8,2,0,0,1,3,0,0,0,0,0,0,0,2,0
용접,3,12,2,2,3,1,9,5,2,11,6,2,31,1,3,8,11,3,4,31,18,0,51,19,9,1,1,2,2,3,8,10,2,19,6,5,6,2,1,12
자켓,2,2,2,2,1,0,0,0,1,4,0,3,17,0,1,7,6,0,0,26,12,0,19,29,5,0,0,0,0,1,0,0,3,11,8,2,3,1,0,7
