,가스,가스통,금형,누출,동시,라인,바닥,바지,배출,밸브,불꽃,사원,소리,소재,스파크,시작,예열,옷_,용접,작동,전신,절단,절단기,제거,충전,치료,토치,파이프,현장,호스,회사,후송,휴대
가스,125,6,5,28,3,10,8,5,6,34,9,8,9,18,8,4,8,3,5,13,8,7,10,6,5,6,11,4,14,12,10,4,6
가스통,6,4,0,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,1,1
금형,5,0,3,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,3,0,1,2,0,1,0
누출,28,2,1,20,0,3,3,1,0,6,2,3,2,5,2,0,1,1,1,0,2,1,1,1,0,1,3,1,5,2,4,1,1
동시,3,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,0
라인,10,0,0,3,1,12,0,0,0,6,0,4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0
바닥,8,1,0,3,0,0,7,0,0,1,1,0,2,1,3,0,0,0,0,4,2,0,3,3,2,1,0,0,1,1,3,1,3
바지,5,0,0,1,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,4,0,0,0
배출,6,0,0,0,0,0,0,2,6,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
밸브,34,1,2,6,0,6,1,0,2,30,3,2,2,9,3,2,5,0,3,4,0,0,0,0,0,1,3,0,1,1,3,1,1
불꽃,9,0,0,2,1,0,1,3,1,3,6,0,1,1,1,1,1,0,2,0,0,1,1,0,1,0,2,0,1,3,0,0,0
사원,8,0,0,3,0,4,0,0,0,2,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
소리,9,2,0,2,0,0,2,0,0,2,1,0,9,2,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,3,6,2,4
소재,18,1,1,5,0,0,1,0,1,9,1,0,2,9,2,0,2,2,2,2,1,1,2,0,0,1,0,0,0,1,3,1,1
스파크,8,0,0,2,0,0,3,0,1,3,1,0,0,2,5,0,0,1,0,4,1,0,0,2,1,0,0,0,1,0,0,0,1
시작,4,0,0,0,1,0,0,0,0,2,1,0,2,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
예열,8,0,2,1,0,0,0,0,0,5,1,0,0,2,0,0,4,0,1,1,1,0,0,0,0,0,3,0,0,2,0,1,0
옷_,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
용접,5,0,0,1,1,0,0,0,0,3,2,0,0,2,0,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
작동,13,0,1,0,0,1,4,0,2,4,0,1,0,2,4,0,1,0,0,10,4,0,0,2,2,0,2,0,0,2,0,1,2
전신,8,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,1,0,0,4,4,0,0,1,1,0,2,0,0,2,0,1,1
절단,7,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,5,3,0,0,0,1,3,0,2,0,1,0
절단기,10,0,0,1,1,0,3,0,0,0,1,0,0,2,0,1,0,2,2,0,0,3,16,3,0,0,0,2,0,0,0,0,0
제거,6,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,3,4,1,0,0,0,0,0,0,0,1
충전,5,0,0,0,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,6,0,0,0,2,1,0,0,1
치료,6,2,0,1,0,0,1,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,3,1,2
토치,11,0,3,3,0,0,0,1,0,3,2,0,1,0,0,0,3,0,0,2,2,1,0,0,0,0,18,0,1,8,0,2,0
파이프,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,1,0,1,0
현장,14,1,1,5,3,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,12,0,1,0,0
호스,12,1,2,2,0,0,1,4,1,1,3,0,3,1,0,0,2,0,0,2,2,2,0,0,1,1,8,1,0,14,3,3,1
회사,10,3,0,4,0,0,3,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,11,3,3
후송,4,1,1,1,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0,1,2,1,0,3,3,3,1
휴대,6,1,0,1,0,0,3,0,0,1,0,0,4,1,1,1,0,0,0,2,1,0,0,1,1,2,0,0,0,1,3,1,3
