,가스,공구,교환,모터,바지,배터리,상태,수리,스파크,시험,엔진,연료,유증,자동차,전기,전동,점검,정비,제거,진압,차량,탈착,탱크,펌프,폐차,해체,현장,회수,휘발유
가스,13,8,3,2,0,0,0,3,1,1,0,11,0,1,1,2,1,5,0,0,10,0,1,4,0,0,0,9,0
공구,8,9,2,0,0,0,0,2,2,0,0,9,0,1,2,4,0,4,1,0,12,0,2,4,1,3,0,8,0
교환,3,2,5,0,0,0,2,1,1,0,3,5,0,0,0,1,0,1,0,2,7,0,0,2,0,0,0,2,0
모터,2,0,0,6,0,1,1,0,0,0,0,7,0,2,0,0,0,2,3,0,6,2,0,0,1,0,0,2,0
바지,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1
배터리,0,0,0,1,0,3,1,0,2,1,0,4,1,1,0,0,0,0,3,0,5,2,0,0,1,0,0,0,1
상태,0,0,2,1,0,1,6,1,0,1,5,7,0,0,1,0,0,0,3,2,8,2,0,0,1,0,0,0,0
수리,3,2,1,0,0,0,1,3,1,1,1,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0,1,2,1
스파크,1,2,1,0,0,2,0,1,9,1,0,9,3,3,2,4,1,1,0,0,12,1,4,2,2,0,1,2,3
시험,1,0,0,0,0,1,1,1,1,3,1,5,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
엔진,0,0,3,0,0,0,5,1,0,1,7,8,0,0,1,0,0,0,0,2,8,0,1,0,0,0,0,0,1
연료,11,9,5,7,3,4,7,3,9,5,8,89,4,9,4,6,4,6,15,2,37,11,10,4,12,10,1,7,9
유증,0,0,0,0,0,1,0,0,3,1,0,4,3,2,0,0,0,0,0,0,2,1,1,0,2,0,0,0,1
자동차,1,1,0,2,0,1,0,0,3,1,0,9,2,7,1,1,0,2,1,0,4,0,1,0,3,3,0,1,0
전기,1,2,0,0,0,0,1,1,2,1,1,4,0,1,4,2,1,2,0,0,7,0,2,1,0,0,0,2,0
전동,2,4,1,0,0,0,0,0,4,0,0,6,0,1,2,6,0,2,0,0,10,0,3,3,0,0,0,4,0
점검,1,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,3,0,0,0,5,0,1,0,0,0,0,0,0
정비,5,4,1,2,0,0,0,1,1,0,0,6,0,2,2,2,0,6,0,0,10,1,3,2,0,0,1,5,1
제거,0,1,0,3,1,3,3,0,0,0,0,15,0,1,0,0,0,0,11,0,7,6,0,0,4,4,0,0,0
진압,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,3,6,0,0,0,1,0,0,0,1
차량,10,12,7,6,2,5,8,3,12,2,8,37,2,4,7,10,5,10,7,6,78,5,10,6,3,2,5,14,9
탈착,0,0,0,2,0,2,2,0,1,0,0,11,1,0,0,0,0,1,6,0,5,6,3,0,2,0,0,0,2
탱크,1,2,0,0,0,0,0,0,4,0,1,10,1,1,2,3,1,3,0,0,10,3,9,1,0,0,0,2,4
펌프,4,4,2,0,0,0,0,1,2,0,0,4,0,0,1,3,0,2,0,0,6,0,1,3,0,0,0,4,0
폐차,0,1,0,1,0,1,1,0,2,0,0,12,2,3,0,0,0,0,4,1,3,2,0,0,7,3,0,0,1
해체,0,3,0,0,1,0,0,0,0,0,0,10,0,3,0,0,0,0,4,0,2,0,0,0,3,11,0,0,1
현장,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,6,0,5
회수,9,8,2,2,0,0,0,2,2,0,0,7,0,1,2,4,0,5,0,0,14,0,2,4,0,0,0,9,0
휘발유,0,0,0,0,1,1,0,1,3,0,1,9,1,0,0,0,0,1,0,1,9,2,4,0,1,1,5,0,12
