,가스,가슴,경남,경유,공사,근무,기계,긴급,도장,마무리,바닥,바지,발견,발화,보수,부위,불꽃,불똥,불씨,불티,비산,사이,상태,선_,소속,소재,스파크,스프레이,시경,용접,용접기,용접부,유통,작업복,접근,주변,중공업,진화,철판,출장,치료,파이프,페인트,하부,허벅지
가스,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
가슴,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,3,1,2,1,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1
경남,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,5,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0
경유,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0
공사,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
근무,0,0,0,4,0,11,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,3,1,1,0,0,3,0,0,14,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0
기계,0,0,1,1,0,0,5,0,0,0,1,1,1,0,2,0,1,0,0,0,0,2,0,0,1,3,0,0,0,10,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0
긴급,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,0,1,3,1,1,1,0,0,0,0,9,0,0,0,4,3,2,0,0,0,0,0,0,0,0,1
도장,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,2,0,1,0,2,0,0,2,1,0,1,0,0,7,1,0,0,0,3,2,0,1,0,0,0,0,1,0,1
마무리,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,1,1,0,0,3,1,0,0,0,0,2,0,8,0,1,0,3,0,0,0,0,0,0,1,0,5,0,0
바닥,0,0,0,0,0,0,1,0,0,0,8,2,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,2,0,0,2,2,2,2,4,0,1,0,0
바지,0,0,0,0,0,0,1,0,0,1,2,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,1,0,0,1,0,1,0,0,0,6,0,1
발견,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,11,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0
발화,2,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,1,0,1,0,0,0,2,2,0,0,0,0,9,0,0,2,1,0,0,1,0,0,0,0,1,0,1,2
보수,0,0,1,0,1,0,2,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0
부위,0,1,0,3,0,3,0,0,0,1,0,0,1,0,0,14,0,0,0,1,1,0,4,0,0,1,0,0,1,22,0,2,0,2,1,1,0,0,0,0,1,9,0,0,0
불꽃,0,0,1,0,0,1,1,0,2,0,3,1,2,1,2,0,19,0,1,0,2,0,1,1,1,3,1,1,2,29,1,0,2,1,0,1,1,3,3,2,3,0,5,1,0
불똥,1,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,2,1,12,0,1,0,1,0,0,1,0,0,0,0,0,5,0,1
불씨,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,4,0,1,3,1,1,1,0,0,0,0,12,0,0,0,3,3,3,0,0,0,0,0,0,1,1,1
불티,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,1,0,0,2,1,1,0,0,0,6,1,1,0,2,0,1,0,0,0,0,0,1,0,1,1
비산,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,1,2,0,1,1,5,0,0,2,1,0,0,1,0,11,2,0,0,1,3,2,0,1,0,0,0,0,0,1,1
사이,0,3,0,3,0,3,2,3,0,3,0,0,0,0,0,0,0,0,3,0,0,14,3,0,0,4,1,0,0,24,0,0,0,9,0,0,0,0,0,2,0,0,0,2,0
상태,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,4,1,0,1,0,0,3,4,0,0,0,0,0,1,12,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0
선_,0,2,0,0,0,1,0,1,2,0,0,0,0,2,0,0,1,0,1,2,2,0,0,6,3,0,0,0,0,9,1,0,0,0,3,2,0,1,0,0,0,2,0,0,3
소속,0,1,1,0,0,0,1,1,1,0,0,0,0,2,1,0,1,0,1,1,1,0,0,3,4,1,0,0,0,8,0,0,0,1,3,2,0,0,0,1,1,1,0,1,2
소재,0,0,2,2,0,0,3,0,0,0,0,0,1,0,1,1,3,0,0,1,0,4,0,0,1,8,0,0,0,14,1,1,0,1,0,1,1,0,1,3,1,0,0,2,0
스파크,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
스프레이,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,6,1,4,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0
시경,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,5,10,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
용접,5,11,5,9,5,14,10,9,7,8,12,5,11,9,7,22,29,12,12,6,11,24,12,9,8,14,8,4,10,238,5,5,5,36,13,11,5,6,4,7,8,12,19,8,6
용접기,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,5,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0
용접부,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,2,0,5,0,3,0,1,0,1,0,0,0,0,0,0,5,0,0
유통,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
작업복,0,3,0,0,0,0,2,4,0,3,2,1,2,1,0,2,1,1,3,2,1,9,4,0,1,1,0,0,1,36,1,1,0,21,1,1,0,0,1,0,0,0,0,2,0
접근,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,3,0,3,0,1,3,3,0,0,0,1,13,0,0,0,1,11,6,0,0,0,0,0,1,0,0,3
주변,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,1,0,3,1,2,0,0,2,2,1,0,0,0,11,0,1,0,1,6,6,0,0,0,0,0,0,1,1,2
중공업,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,3,1,0,1,2,0,0,0,1
진화,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,3,0,1,2,0,0,0,0
철판,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
출장,0,0,1,1,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,1,3,0,0,0,7,0,0,0,0,0,0,1,1,0,3,3,0,0,1,0
