,가스,경남,고철,교정,근무,기계,누출,드럼,바지,발화,번지,부산시,부위,불길,불꽃,불똥,산소,선수,설치,소재,연결,연결부,옷_,왼손,용접,용접기,우측,인화,작업복,장갑,절단,절단기,제거,제품,철판,탱크,테크,토치,파이프,해체,허벅지,현장,호수,호스,확산
가스,13,1,1,1,0,1,5,1,1,0,0,0,4,1,4,2,18,1,1,0,2,0,0,1,2,0,1,0,3,2,11,15,0,0,0,2,0,1,1,2,2,2,0,10,0
경남,1,7,0,0,1,0,0,0,0,0,3,0,0,1,0,0,9,0,0,5,0,0,2,0,0,0,0,0,2,0,6,8,1,1,3,1,1,0,0,1,1,0,0,4,0
고철,1,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,2,0,1,0,5,4,0,0,0,0,0,0,2,0,0,1,0,2,0
교정,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,2,4,0,0,0,0,0,0,0,7,0,0,0,0,1,0,4,0,0,0,0,0,2,0
근무,0,1,0,0,3,0,0,0,2,0,1,0,0,0,1,0,6,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,3,0
기계,1,0,2,1,0,16,0,0,2,0,0,1,3,0,1,2,16,0,2,2,0,0,0,1,0,0,1,0,0,3,8,4,0,0,1,1,2,2,1,1,1,4,0,10,0
누출,5,0,0,0,0,0,8,0,0,1,0,0,1,0,3,0,9,0,0,0,0,0,1,0,2,0,0,0,1,0,5,6,1,0,1,0,0,1,0,2,1,0,0,1,0
드럼,1,0,0,0,0,0,0,7,1,0,0,0,2,0,2,1,5,0,0,0,1,0,2,0,0,0,0,1,1,0,9,5,0,1,0,1,0,0,0,0,0,0,0,3,0
바지,1,0,1,0,2,2,0,1,14,0,0,0,0,0,3,3,15,0,0,0,1,0,2,0,2,0,0,1,3,0,12,3,0,1,2,0,0,0,0,0,1,5,1,3,0
발화,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,6,0,0,0,2,0,1,0,0,4,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,2,0,3,0
