,개_,개폐,동시,바지,발화,불길,불꽃,소화기,용접,유압,인화,전기,절단,진압,진화,최초,현장,호스,회사
개_,3,0,0,0,0,0,1,3,0,5,0,1,2,1,2,0,0,0,0
개폐,0,3,1,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0
동시,0,1,3,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0
바지,0,0,0,7,1,2,1,2,2,0,1,0,1,1,5,0,1,1,0
발화,0,0,0,1,14,0,0,2,1,6,1,0,0,0,3,2,0,7,2
불길,0,0,0,2,0,7,2,1,0,4,2,2,0,0,5,2,0,6,0
불꽃,1,0,0,1,0,2,10,5,3,2,2,2,0,1,8,1,2,3,0
소화기,3,0,0,2,2,1,5,19,0,0,0,4,0,4,12,1,0,0,2
용접,0,0,0,2,1,0,3,0,4,0,2,0,0,0,4,0,1,1,0
유압,5,2,4,0,6,4,2,0,0,57,2,2,12,0,2,2,0,10,0
인화,0,0,0,1,1,2,2,0,2,2,3,1,0,0,3,1,0,4,0
전기,1,0,0,0,0,2,2,4,0,2,1,3,0,2,3,1,0,3,0
절단,2,1,0,1,0,0,0,0,0,12,0,0,6,1,1,0,0,0,0
진압,1,0,0,1,0,0,1,4,0,0,0,2,1,3,3,0,0,0,0
진화,2,4,2,5,3,5,8,12,4,2,3,3,1,3,49,4,4,8,5
최초,0,0,0,0,2,2,1,1,0,2,1,1,0,0,4,3,0,3,1
현장,0,0,0,1,0,0,2,0,1,0,0,0,0,0,4,0,6,4,0
호스,0,0,0,1,7,6,3,0,1,10,4,3,0,0,8,3,4,19,1
회사,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,1,0,1,3
