,가스,가열,기계,기록,당사,록지,무기,바지,발화,분해,불꽃,산소,상기,신나,용기,용접,의무,일시,자료,장갑,정전기,제거,진화,철판,첨부,토치,파일,호스
가스,4,3,0,0,0,0,0,0,0,1,0,2,8,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
가열,3,20,0,0,1,2,2,0,0,1,1,4,10,0,0,1,0,0,0,0,0,5,0,1,2,4,2,0
기계,0,0,3,0,0,2,2,0,1,0,0,0,6,0,0,0,0,0,1,1,0,2,2,0,2,0,2,0
기록,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,3,0,2,0,0,0,1,0,3,0,3,0
당사,0,1,0,0,3,1,1,0,1,1,0,4,5,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1
록지,0,2,2,0,1,11,11,1,1,1,2,5,17,1,0,2,0,0,2,0,2,2,3,2,11,1,11,0
무기,0,2,2,0,1,11,11,1,1,1,2,5,17,1,0,2,0,0,2,0,2,2,3,2,11,1,11,0
바지,0,0,0,0,0,1,1,3,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
발화,0,0,1,0,1,1,1,0,4,0,0,1,7,0,1,0,0,0,1,1,0,2,0,1,1,2,1,0
분해,1,1,0,0,1,1,1,0,0,3,1,2,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
불꽃,0,1,0,1,0,2,2,0,0,1,4,2,5,0,0,2,1,0,1,0,0,2,1,1,3,1,3,0
산소,2,4,0,0,4,5,5,0,1,2,2,17,18,0,2,4,0,0,1,0,0,4,0,2,5,2,5,4
상기,8,10,6,5,5,17,17,4,7,5,5,18,99,4,7,5,5,4,7,5,9,10,9,6,24,7,22,6
신나,0,0,0,0,0,1,1,0,0,0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,1,0,1,1
용기,0,0,0,0,2,0,0,0,1,0,0,2,7,0,10,2,0,2,0,0,2,0,0,0,0,2,0,1
용접,1,1,0,0,0,2,2,0,0,0,2,4,5,0,2,4,0,1,0,0,0,2,1,1,2,1,2,1
의무,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,3,0,2,0,0,0,1,0,3,0,3,0
일시,1,0,0,0,0,0,0,1,0,1,0,0,4,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0
자료,0,0,1,2,0,2,2,0,1,0,1,1,7,0,0,0,2,0,4,0,0,0,3,0,4,0,4,0
장갑,0,0,1,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0
정전기,0,0,0,0,0,2,2,0,0,0,0,0,9,1,2,0,0,0,0,0,8,0,1,0,4,0,2,0
제거,1,5,2,0,0,2,2,0,2,0,2,4,10,0,0,2,0,0,0,2,0,9,0,2,2,3,2,0
진화,0,0,2,1,0,3,3,0,0,0,1,0,9,0,0,1,1,0,3,0,1,0,8,0,4,0,4,0
철판,0,1,0,0,0,2,2,1,1,0,1,2,6,0,0,1,0,0,0,0,0,2,0,3,2,1,2,0
첨부,0,2,2,3,1,11,11,1,1,1,3,5,24,1,0,2,3,0,4,0,4,2,4,2,15,1,14,0
토치,1,4,0,0,2,1,1,0,2,0,1,2,7,0,2,1,0,0,0,0,0,3,0,1,1,7,1,0
파일,0,2,2,3,1,11,11,1,1,1,3,5,22,1,0,2,3,0,4,0,2,2,4,2,14,1,14,0
호스,1,0,0,0,1,0,0,0,0,0,0,4,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
