,견해,경고,고의,과태료,내용,도구,목적,미만,보고,보험,부과,사유,산업재,산재,상태,소재,요양,의거,이내,장소,제출,조사,조사표,조치,종결,지침,처리,처분,최근,치료,판단,현장
견해,11,5,3,4,11,11,11,3,13,5,3,22,9,5,5,3,6,4,3,11,3,14,4,4,3,3,8,3,3,9,5,5
경고,5,5,3,0,5,5,5,3,5,1,0,10,3,3,1,2,2,3,2,5,0,5,2,3,3,1,3,2,3,7,2,2
고의,3,3,3,0,3,3,3,3,3,1,0,6,2,2,1,1,2,3,1,3,0,3,2,2,3,0,3,2,2,1,2,1
과태료,4,0,0,4,4,4,4,0,6,4,3,8,5,2,4,1,3,1,1,4,3,6,2,0,0,2,5,1,0,0,2,1
내용,11,5,3,4,11,11,11,3,13,5,3,22,9,5,5,3,6,4,3,11,3,14,4,4,3,3,8,3,3,9,5,5
도구,11,5,3,4,11,11,11,3,13,5,3,22,9,5,5,3,6,4,3,11,3,14,4,4,3,3,8,3,3,9,5,5
목적,11,5,3,4,11,11,11,3,13,5,3,22,9,5,5,3,6,4,3,11,3,14,4,4,3,3,8,3,3,9,5,5
미만,3,3,3,0,3,3,3,3,3,1,0,6,2,2,1,1,2,3,1,3,0,3,2,2,3,0,3,2,2,1,2,1
보고,13,5,3,6,13,13,13,3,17,7,4,26,13,6,5,4,9,5,4,13,5,17,5,4,3,4,10,4,3,9,5,5
보험,5,1,1,4,5,5,5,1,7,9,2,10,9,2,8,2,4,0,0,5,4,7,3,0,1,2,9,2,0,1,4,0
부과,3,0,0,3,3,3,3,0,4,2,3,6,2,2,4,0,1,1,1,3,2,5,2,0,0,2,4,0,0,0,2,1
사유,22,10,6,8,22,22,22,6,26,10,6,44,18,10,10,6,12,8,6,22,6,28,8,8,6,6,16,6,6,18,10,10
산업재,9,3,2,5,9,9,9,2,13,9,2,18,15,4,5,5,9,3,3,9,5,11,4,1,2,2,9,4,2,8,4,2
산재,5,3,2,2,5,5,5,2,6,2,2,10,4,5,5,2,3,4,3,5,2,7,3,2,2,2,6,2,3,5,4,1
상태,5,1,1,4,5,5,5,1,5,8,4,10,5,5,18,1,1,2,1,6,4,10,5,1,1,4,13,1,1,0,9,0
소재,3,2,1,1,3,3,3,1,4,2,0,6,5,2,1,3,3,2,2,3,1,3,1,1,1,0,2,2,2,5,1,0
요양,6,2,2,3,6,6,6,2,9,4,1,12,9,3,1,3,8,4,2,6,3,7,2,2,2,1,5,4,2,2,3,3
의거,4,3,3,1,4,4,4,3,5,0,1,8,3,4,2,2,4,6,3,4,1,5,3,3,3,1,4,3,3,0,3,1
이내,3,2,1,1,3,3,3,1,4,0,1,6,3,3,1,2,2,3,3,3,1,4,2,1,1,1,2,1,2,5,1,0
장소,11,5,3,4,11,11,11,3,13,5,3,22,9,5,6,3,6,4,3,12,3,15,4,4,3,3,8,3,3,9,5,5
제출,3,0,0,3,3,3,3,0,5,4,2,6,5,2,4,1,3,1,1,3,3,5,2,0,0,2,5,1,0,0,2,0
조사,14,5,3,6,14,14,14,3,17,7,5,28,11,7,10,3,7,5,4,15,5,21,6,5,3,5,12,3,3,9,7,5
조사표,4,2,2,2,4,4,4,2,5,3,2,8,4,3,5,1,2,3,2,4,2,6,4,1,2,2,6,1,1,1,3,0
조치,4,3,2,0,4,4,4,2,4,0,0,8,1,2,1,1,2,3,1,4,0,5,1,4,2,1,2,2,2,1,2,2
종결,3,3,3,0,3,3,3,3,3,1,0,6,2,2,1,1,2,3,1,3,0,3,2,2,3,0,3,2,2,1,2,1
지침,3,1,0,2,3,3,3,0,4,2,2,6,2,2,4,0,1,1,1,3,2,5,2,1,0,3,4,0,0,1,2,1
처리,8,3,3,5,8,8,8,3,10,9,4,16,9,6,13,2,5,4,2,8,5,12,6,2,3,4,14,3,2,1,8,1
처분,3,2,2,1,3,3,3,2,4,2,0,6,4,2,1,2,4,3,1,3,1,3,1,2,2,0,3,3,2,0,2,1
최근,3,3,2,0,3,3,3,2,3,0,0,6,2,3,1,2,2,3,2,3,0,3,1,2,2,0,2,2,3,5,2,1
치료,9,7,1,0,9,9,9,1,9,1,0,18,8,5,0,5,2,0,5,9,0,9,1,1,1,1,1,0,5,31,2,5
판단,5,2,2,2,5,5,5,2,5,4,2,10,4,4,9,1,3,3,1,5,2,7,3,2,2,2,8,2,2,2,7,3
현장,5,2,1,1,5,5,5,1,5,0,1,10,2,1,0,0,3,1,0,5,0,5,0,2,1,1,1,1,1,5,3,7
