,결과,교체,발화,배관,번_,비산,사이,선_,소재,스파크,용접,인화,작업복,주변,준비,탱크,현장
결과,3,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
교체,2,8,4,5,0,2,2,0,0,0,0,2,0,2,4,2,0
발화,1,4,7,2,3,2,2,2,2,0,2,0,0,3,5,5,1
배관,1,5,2,12,0,0,1,0,0,0,1,5,1,0,2,7,3
번_,0,0,3,0,10,0,3,5,3,0,3,0,0,0,0,9,2
비산,0,2,2,0,0,3,0,0,0,0,0,0,1,2,3,0,0
사이,1,2,2,1,3,0,3,1,0,0,0,0,0,0,1,3,0
선_,0,0,2,0,5,0,1,6,3,0,3,0,0,0,0,6,1
소재,0,0,2,0,3,0,0,3,3,0,2,0,0,1,1,4,1
스파크,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,13,0
용접,0,0,2,1,3,0,0,3,2,1,4,0,0,1,2,6,2
인화,0,2,0,5,0,0,0,0,0,1,0,6,1,0,0,8,0
작업복,0,0,0,1,0,1,0,0,0,1,0,1,3,0,1,4,0
주변,0,2,3,0,0,2,0,0,1,1,1,0,0,4,4,4,0
준비,1,4,5,2,0,3,1,0,1,1,2,0,1,4,7,4,1
탱크,1,2,5,7,9,0,3,6,4,13,6,8,4,4,4,63,2
현장,0,0,1,3,2,0,0,1,1,0,2,0,0,0,1,2,3
