,가스,건조,경기도,그라인더,근무,기계,대피,바닥,발화,번_,베스티,부산,부위,불길,불꽃,불명,사람,상부,서울,선_,설치,성심,소리,소재,앞_,연기,옷_,울산,이후,장내,장식,조선,진압,차량,처리,치료,통원,통증,페인트,포기,회사,후송,흡입
가스,11,0,0,0,1,0,14,2,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,4,1,2,0,2,1,1,0,0,0,5,0,2,0,2,0,6,3
건조,0,3,1,2,0,0,1,1,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,3,0
경기도,0,1,3,0,0,0,2,0,2,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,2,0,1,2,0,1,0,0,0,1,0
그라인더,0,2,0,9,0,1,0,2,0,0,0,3,2,0,3,0,1,0,2,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,2,4,0,0,2,0,0,9,0
근무,1,0,0,0,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,1,0,3,1,0,0,2,1,1,1
기계,0,0,0,1,1,4,1,0,0,0,1,3,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,4,1,0,0,0,1,2,0
대피,14,1,2,0,1,1,57,8,2,7,1,3,2,6,1,1,5,1,0,3,4,0,4,2,4,12,0,3,1,8,1,3,2,1,2,5,0,3,0,2,1,9,4
바닥,2,1,0,2,0,0,8,3,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0
발화,0,0,2,0,0,0,2,0,7,0,0,0,0,2,4,1,0,1,0,1,0,1,2,2,0,3,0,0,3,2,1,2,4,1,0,6,1,2,0,1,1,1,0
번_,0,0,1,0,0,0,7,0,0,11,1,0,0,3,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0
베스티,1,1,1,0,1,1,1,0,0,1,8,3,0,0,0,0,1,0,2,1,1,0,0,2,1,1,2,0,1,1,0,1,1,3,2,11,2,0,1,0,3,5,1
부산,0,0,0,3,1,3,3,0,0,0,3,9,0,0,2,0,1,1,0,0,0,0,0,2,0,2,1,3,0,3,0,0,2,1,4,7,1,0,0,0,1,6,2
부위,0,1,0,2,0,1,2,1,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0
불길,0,0,1,0,0,0,6,1,2,3,0,0,0,3,1,0,1,0,0,1,1,0,2,1,1,2,0,0,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0
불꽃,0,1,1,3,0,2,1,1,4,0,0,2,1,1,8,0,1,3,1,2,0,1,1,1,0,1,0,2,1,1,0,4,3,2,0,8,2,1,1,0,0,4,0
불명,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,2,0,0,0,4,0,1,1
사람,1,0,0,1,0,1,5,1,0,0,1,1,0,1,1,0,8,0,0,0,1,2,3,0,2,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
상부,1,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,3,1,0,0,0,0,1,0
서울,0,2,1,2,0,0,0,1,0,0,2,0,1,0,1,0,0,0,8,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,11,0,0,1,0,1,3,0
선_,1,0,0,0,0,0,3,0,1,4,1,0,0,1,2,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,1,0,1,0,0,0,0
설치,0,0,0,0,0,0,4,1,0,1,1,0,0,1,0,0,1,0,0,1,3,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
성심,0,1,0,2,0,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,0,4,1,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,1,0,1,3,0
